Day	plate	Row	Col	medium	protist	bacteria 	state	ind./cm^2
1	1	A	1	PAS	Blank	Blank	NA	0
1	1	A	2	2%KB	Blank	Blank	NA	0
1	1	A	3	2%KB	P4	NO	active	135
1	1	A	3	2%KB	P4	NO	cyst	0
1	1	A	4	2%KB	P1	NO	active	2979
1	1	A	4	2%KB	P1	NO	cyst	0
1	1	A	5	PAS	P4	A	active	948
1	1	A	5	PAS	P4	A	cyst	677
1	1	A	6	2%KB	P2	A	active	948
1	1	A	6	2%KB	P2	A	cyst	0
1	1	A	7	2%KB	P6	A	active	406
1	1	A	7	2%KB	P6	A	cyst	0
1	1	A	8	PAS	P3	D	active	271
1	1	A	8	PAS	P3	D	cyst	3927
1	1	A	9	PAS	P1	D	active	2573
1	1	A	9	PAS	P1	D	cyst	0
1	1	A	10	2%KB	P6	G	active	813
1	1	A	10	2%KB	P6	G	cyst	0
1	1	A	11	PAS	P5	D	active	0
1	1	A	11	PAS	P5	D	cyst	0
1	1	A	12	2%KB	P6	B	active	1354
1	1	A	12	2%KB	P6	B	cyst	0
1	1	B	12	PAS	P1	G	active	5688
1	1	B	12	PAS	P1	G	cyst	0
1	1	B	11	2%KB	P6	D	active	677
1	1	B	11	2%KB	P6	D	cyst	0
1	1	B	10	2%KB	P3	E	active	271
1	1	B	10	2%KB	P3	E	cyst	0
1	1	B	9	PAS	P4	B	active	406
1	1	B	9	PAS	P4	B	cyst	135
1	1	B	8	2%KB	P4	NO	active	135
1	1	B	8	2%KB	P4	NO	cyst	406
1	1	B	7	PAS	P5	B	active	0
1	1	B	7	PAS	P5	B	cyst	135
1	1	B	6	2%KB	NO	G	NA	0
1	1	B	5	2%KB	P3	A	active	135
1	1	B	5	2%KB	P3	A	cyst	135
1	1	B	4	PAS	P3	A	active	677
1	1	B	4	PAS	P3	A	cyst	1760
1	1	B	3	PAS	P4	F	active	677
1	1	B	3	PAS	P4	F	cyst	0
1	1	B	2	PAS	P5	I	active	0
1	1	B	2	PAS	P5	I	cyst	0
1	1	B	1	PAS	P1	F	active	3115
1	1	B	1	PAS	P1	F	cyst	0
1	1	C	1	PAS	P2	A	active	3386
1	1	C	1	PAS	P2	A	cyst	0
1	1	C	2	NA	NA	NA	NA	0
1	1	C	3	PAS	P3	H	active	0
1	1	C	3	PAS	P3	H	cyst	1760
1	1	C	4	PAS	P4	C	active	813
1	1	C	4	PAS	P4	C	cyst	135
1	1	C	5	PAS	P1	C	active	3115
1	1	C	5	PAS	P1	C	cyst	0
1	1	C	6	NA	NA	NA	NA	0
1	1	C	7	PAS	P2	D	active	2302
1	1	C	7	PAS	P2	D	cyst	0
1	1	C	8	PAS	P3	I	active	1083
1	1	C	8	PAS	P3	I	cyst	1083
1	1	C	9	2%KB	P1	B	active	0
1	1	C	9	2%KB	P1	B	cyst	0
1	1	C	10	NA	NA	NA	NA	0
1	1	C	11	NA	NA	NA	NA	0
1	1	C	12	NA	NA	NA	NA	0
1	1	D	12	PAS	P4	E	active	271
1	1	D	12	PAS	P4	E	cyst	271
1	1	D	11	NA	NA	NA	NA	0
1	1	D	10	2%KB	P3	H	active	0
1	1	D	10	2%KB	P3	H	cyst	542
1	1	D	9	2%KB	NO	F	NA	0
1	1	D	8	2%KB	P1	D	active	948
1	1	D	8	2%KB	P1	D	cyst	0
1	1	D	7	2%KB	NO	H	NA	0
1	1	D	6	PAS	P5	H	active	0
1	1	D	6	PAS	P5	H	cyst	0
1	1	D	5	2%KB	P2	B	active	271
1	1	D	5	2%KB	P2	B	cyst	0
1	1	D	4	2%KB	P6	F	active	2573
1	1	D	4	2%KB	P6	F	cyst	0
